Product Name;Variations;Rating;Username;Date;Review
TERMURAH Bundling Paket [3in1] Ibcccndc Eyebrow Powder Stamp Cindynal / Cetakan Alis Instan Bedak Stempel Tali Titik 3 Ada 12 Pcs Bentuk Alis + Concealer Penutup;Variasi: PAKET 3 IN 1,02 NATURAL BROWN;2;meizy_sari;15/12/2023;Pensil alis power nya kayak yang engk adaan kosong udah di oles oles juga engk keluar
BPOM - Ampuh 500ml Shampo Penumbuh Rambut Cepat Ginger Sampo Jahe Herbal Anti Botak Rontok Perawatan Hair Care Treatment;Variasi: SHAMPO HERBAL;1;mufafa360;28/12/2023;apalah jir, ga mempan di guaa udh beli 2 kali abis tetep aee
Salep Obat Kutil Paling Ampuh【EELHOE】Pen Wart Remover Penghilang TahiLalat dan Kutil Mata Ikan Antibakteri Untuk Pria Dan Wanita;Variasi: EELHOE TAHI LALAT;2;muh.husnil;19/12/2023;Gak sesuai pesanan kecewa
BISA COD & 100% ORIGINAL - Pensil Alis Benang Hengsi Eyebrow Pencil Make Up Kosmetik Mata Hensi Korea Pencil Alis Tahan Air Dan Tahan Lama;Variasi: 12 LIGHT COFFE/BROWN;1;mvec96qbrc;19/12/2023;jelek di kasih yg patah
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;1;mzfzv6hg3t;28/12/2023;Warnanya Tidak Cocok.... Tidak Se Bagus Yng Di Foto
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;2;n3im7whp2n;27/12/2023;Ga sesuai ekspetasi aku kan pesennya warna yang 05 tweet young tapi malah datangnya yang gada warnanya,,ga sesuai banget pokonyaa
BISA COD TERMURAH Lameila BB Cream Foundation Korea Super Wearing Long Lasting 1001;Variasi: LML3802#02 LIGHTSKIN;1;nabiila_13;29/12/2023;Rusak isi nya belepotan
Lameila 5046 Pressed Powder / Bedak Padat Kontrol Minyak Dan Tahan Lama;Variasi: 02 LIGHT SKIN;2;nadilla_prasisca08;17/12/2023;Beli yg warna pink malah dateng yang hijau dan sudah bulukan
Collagen Eye Mask Masker Mata Panda 60 Lembar Menghilangkan Kerutan Hitam dan Kantong Mata AMPUH;Variasi: RAINBOW;2;ndulstore08;23/12/2023;Aaaa joz
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;1;nunkycahayafazila;29/12/2023;Pesen yang mana datengnyaa warna apaa ga amanah bnget
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;1;nyimasdwilestari;20/12/2023;Cuihhh bikinn kering bibir
[BPOM] CINDYNAL Aloevera 92% Gel Murni Natural 220g Pelembab Wajah Aloe Vera Soothing & Moisture Gel;Variasi: CINDYNAL BPOM 220ML;1;oneupup;24/12/2023;Lama
BISA COD Racun Tikus Mati Kering dan Tidak Bau - Mao Wang Racun Tikus Paling Ampuh Langsung Mati di Tempat;Variasi: 1 BUNGKUS;2;p*****n;13/12/2023;Agak kurang ampuuh
Krim Penghilang Karat, Noda Gosong, Kerak Panci / Stainless Steel Cleaning Paste;None;2;p*****n;13/12/2023;Belum dicoba
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 02 MINUET;1;p4ky_kb3sf;30/12/2023;Tidak sesuai warna
[ BISA COD ] Stiker Selamat Menikmati 1 Roll Isi 500 Pcs Ukuran 2,5 Cm Dan 3,5 Cm Sticker Thank You;Variasi: MENIKMATI 12,2.5 CM;2;panji_wisnu_aji8;17/12/2023;Penanganan lama + pengiriman lama
[PROMO MURAH] CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;1;puthrianisa;30/12/2023;Wah mini sekali
BISA COD - CINDYNAL Lip balm Rossy Lips Pemerah Bibir Alami untuk Pria dan Wanita;Variasi: ROSY LIPS;2;q_qhptv5ab;16/12/2023;Bau nya ngga enak
Lameila Lip Glaze / Lipstik Cair Kosmetik / Liptint Lipgloss 1044;Variasi: 03;2;qxdetcd7rt;15/12/2023;Warna nya ngga sesuai
LAMEILA 5129 Bedak Padat Waterproof 2 in 1 Makeup Pressed Setting Powder Make Up;Variasi: 02 LIGHT & NATURAL;2;r*****a;25/12/2023;Overall semua produk yang ku pesen bagus tapi kenapa satu produk ini doang yg salah yah... Bisa di lihat di video kalau barang yang datang tidak sesuai dengan yg di pesan... Jelas2 saya memesan bedak padat tpi yang datang malah eyeshadow! Saya sudah menguhubungi penjual tpi belum ada respon... Oh ya pengirimannya juga lama banget jdi pas Tau ad produk yg salah saya jadi kesal💢
NEW IMPORT 1 BOX ISI 6 PCS - HENGFANG/TANAKO SO SWEEET DREAM MATTE LIPSTICK KOREA /  Tanako Lipbalm;Variasi: 1 BOX ISI 6 PCS;1;r6y9tdh2pn;22/12/2023;Barang datang tidak sesuai ekspetasi yg difoto,di keterangan 1 kotak isi 6 pcs,pas datang dibuka cuma 4 pcs.lipstik nya pendek spt rokok.kalo liat diketerangan gmbr lipstik nya panjang.mana kotak nya kecil seukuran kotak rokok gudang garam..kalo liat komen yg lain isi pada 6 pcs kotak nya jg lumayan bsr.pas diantar sm kurir dlm ht jg bilang kok kotak nya kecil amat ya..masa lipstik isi 6 pcs packing nya kecil gitu.pas dibuka ternyata filling aq emang bnr ternyata bohong...kalo yg lain mau order disini pikir2 dulu,kecewa toko nya tdk amanah😥
(BISACOD) TWG Mud Mask Green Tea Clay Mask Masker Wajah Pore Clean Clay Mask -  120gr;Variasi: TWG MUD MASK;1;rejzaoiavt;28/12/2023;Sangat buruk
LAMEILA NUDE EDITION LIQUID LIPSTICK SILKY GLASS LIP GLAZE WATERPROOF 1041;Variasi: 06 CARAMEL;1;rennyren974;23/12/2023;Tampt lipstik Nye yang Mane di tawarin nyezyang datang itu teru model tempatlipstik Nye,,,tidak sesuai gambar Pengiriman Nye lammmmmmaaaaa
Lameila 5059 Air Cushion Bb Moisturizing Cream;Variasi: 03 NATURAL;1;ridwanulfha;19/12/2023;Pesan bb moisturizing di kirim malah eyeshadow
SADOER Facial Cleanser Low pH Good Morning Face Wash / Sabun Cuci Muka Pembersih Wajah / Natural Beauty Brightening Gentle Skin Cleanser;Variasi: ALOE (MELEMBABKAN);1;rismawati_gemini;25/12/2023;Mengecewakan beli barang 2 yang sampe cuma 1
CINDYNAL Black Mask Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;1;rosmely994;28/12/2023;Bagus
Behel Lepas Pasang 1 Set Original Bracket Amplop Orthodontic - Behel Gigi Bracket Amplop BRACKET AMPLOP MINI EDGEWISE - Bracket Gigi Behel;None;1;s*****1;20/12/2023;JANGAN MAU BELANJA DISINI.TOKO PENIPU.PESAN 200 PACK DIKIRIM 190 PACK.MAKAN TUH UANG HARAM.GAK BERKAT HIDUP LOE.
TERMURAH DI SHOPEE - NEW LAMEILA Liquid Concealer Full Cover Makeup Korean 1031;Variasi: 01 IVORY;1;sariani761;23/12/2023;maaf sebelumnya pesanan nya tidak sesuai... padahal aku pesan untuk consoler tapi itu Glitter
TERMURAH 12 WARNA Lameila Eyeshadow Palette IMPORT KOREA 1111;Variasi: LM 04# 12 WARNA;2;seggaseptiyani;16/12/2023;Pengirimannya lama banget dan barangnya sudah sampai malah yang satu rusak kaya gitu
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;2;sh3524;31/12/2023;sedikit kecewa krna yang dateng warnanya pucat pdhl saya pilih warna yang agak terang
Design Baru - Label Makanan Roll Sticker Thank You 500 PCS Import [ Batch 2];Variasi: A-315;1;sharonvaneshasumanti;28/12/2023;Barang tdk dikirim
Racun Tikus Mao Wang Original 100% Dijamin Ampuh - Maowang Import Pembasmi Hama Tikus;Variasi: 1 BUNGKUS;2;sidomulyo79;20/12/2023;Di gambar 2M, dateng2 yg dikirim yg biasa😔,
Perawatan Rambut Intensif 2 in1 Pengihitam Rambut Serum Dan Shampo Penghilang Uban Permanen Alami Dan Menutrisi Rambut;Variasi: 2IN1;1;simatupangsanti;30/12/2023;Pengiriman sudah sampai,sudah pakai tapi tidak ada hasil ,tidak ada perubahan,tidak menutupi uban
Lameila Candy Natural Orange Rouge Blush 6 Color Choose to 3042;Variasi: 03 ORANGE;2;sinditri08;26/12/2023;Kecewa banget sih Dateng patah kaya gitu🙂
[COD] LAMEILA Colour Geometry Face Stick Contour Duo Cocealer 109 Stick 1002;Variasi: 01 NATURAL;1;sitinasyaaisyah;26/12/2023;g sesuai
Kikir Kuku Kaca + Box / Pengkilat Kuku Instant Tanpa Ke Salon Glass Nail Polish File;Variasi: KIKIR KACA + BOX;1;sulthan_902;26/12/2023;Pesanan tidak terkirim
BISA COD Mao Wang Pembasmi Hama Tikus - Racun Tikus Ampuh Maowang Mati Kering Tidak Bau - Pembasi Tikus Maowang Dijamin Ampuh Dan Original;Variasi: 1 BUNGKUS;2;susantosanto585;15/12/2023;Bagus
Ready Jkt - Pelebat Rambut Maycheer Pewarna Rambut Fiber Instant Concealer Penutup Uban Hair Shadow 3089;Variasi: 03 light coffe;1;suwartykomala;29/12/2023;Warnanya psn coklat cofee dikasih coklat muda...menyebalkan
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;1;syakhiraiskandar;25/12/2023;masa saya pesen 6 variasi tp yang ada cmn 3 mana teksturnya lengkett banget lagii, baunya kayak permen karet, pas dipake lengket banget di bibir, menurutku warnanya kurang keluar, pas di bibir susah banget nyerapnya, kalau udah kering bikin bibir kering jugaa, nyesel dehh pesen banyak banyak tp dpt zonk
PAKET BUNDLE! Shampo Herbal 500ml & BPOM CINDYNAL Ginger Essence Penumbuh Rambut Cepat Sampo Jahe Herbal Anti Botak Rontok;Variasi: Shampo Rambut Rontok;2;syakilaputri772;21/12/2023;"Produk nya belom di coba ori/bukan nya dan pengiriman nya sangat""lambat!kapok belanja di toko ini"
Cindynal Serum Bulu Mata dan Alis Eyelash Eyebrow Serum Penumbuh Bulu Mata Dan Menebalkan Alis Oilash;None;2;t*****7;16/12/2023;"Hati hati ya temen"" soal ny di kemasan produk ini belum ada lebbel BPOM ny"
[ COD ] Sadoer Foot Mask Masker Kaki Perawatan kaki Tumit Pecah dan Kering Pengelupas Kulit Mati Import;Variasi: MASKER KAKI LAVENDER;2;tya_artika01;13/12/2023;Gk sesuai pesanan
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 06 GLITZY;2;utiyatono;14/12/2023;warna nya jlk gk sesuai ekspektasi 🙏
100% Original Dazzling White Pen- Pemutih Gigi Kuning Permanen - Pemutih Gigi Ampuh - Instant Whiten;Variasi: DAZZLING;1;vaqecrm4el;27/12/2023;Ngga sesuai jelek
BUBUK Racun Semut Merah Paling Ampuh / Obat Pembasmi Semut dan Serangga Mie Ji Qing Miejiqing;None;2;vb_1a_zb6h;28/12/2023;gk manjur
LAMEILA Concealer Cream Moisturizing Makeup Base 3075;Variasi: LM 3075 NATURAL;1;vitriazahra03;28/12/2023;Pelayanan tokonya tidak bagus,barang yg dipesan tidak sesuai yang datang😡
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;vitriazahra03;28/12/2023;Kecewa belanja ditoko ini, barang yg datang tidak sesuai pesanan. Semua barang yg datang salah semua😡😡 mana tidak bisa ajukan pengembalian 😡 sudah lebih 7 tahun belanja d Shopee tapi baru di toko ini yang tidak beres packing barang. sangat kecewa😡😡
Paket Set Alis 2 In 1 / Eyebrow Bundling Cetakan Alis Tali/ Eyebrow Powder 2in1;Variasi: PAKET ALIS 2 IN 1,NATURAL BROWN;1;vitriazahra03;28/12/2023;Toko tidak amanah, barang tidak sesuai yang datang 😡 pesan yg lain ehhh yg datang juga lain🤦
Lameila 1002 Colour Geometry Face Stick Countour Stick Duo Face;Variasi: 02# Ivory;1;vitriazahra03;28/12/2023;Pengiriman lama trus barang yg datang tidak sesuai pesanan 😡😡
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;1;vuwfti3fkg;29/12/2023;Kurang bagus
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;1;wafaazzahra805;22/12/2023;Jelek,palsu,bikin bibir makin item,gw kira Vaseline ternyata bukan,ujung²nya ga kepake
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;2;wafashabrina4;22/12/2023;Warnanya muda bgt g keliatan pinknya malah lebih ke warna bening, padahal pesannya warna pink yg agak tua, mana dateng nya lama bgt lagi:(
Paket Kosmetik 5 Pcs / 3 Pcs Lameila Lipstick Matte Cair 1041 + 2 Pcs Contour Concealer Light Coverage Svmy 1062;Variasi: PAKET ISI 5 PCS;2;wawangkristiun;26/12/2023;Paket tidak sesuai pesanan  ,tidak adaconcealer
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 03 SWEET;2;xef0nluok_;17/12/2023;Bagus banget saya suka sama teksturnya, wanginya juga enakk
BPOM - Ampuh 500ml Shampo Penumbuh Rambut Cepat Ginger Sampo Jahe Herbal Anti Botak Rontok Perawatan Hair Care Treatment;Variasi: SHAMPO HERBAL;1;y*****h;20/12/2023;Beli 2 yg dtg 1 ,mau sertakan fidiontp kepanjangan
LAMEILA 2028 Matte Lipstick Liquid Korean Lipstik Lip Glaze Korean Lip Gloss Waterproof;Variasi: 03 SWEET BEAN;1;yessicayessica879;23/12/2023;Cocok tidak sesuai ekspetasi
LAMEILA 3078 Foundation Liquid Light Concealer Natural Clear BB Cream / Long Lasting & Waterproof;Variasi: 03 NATURAL;1;yoensanju07;19/12/2023;pesan 3 pcs yg dtng 1 harga 35.000.kmana 2 lagi
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;2;zalfasyakira28;17/12/2023;Maaf kak saya memesan nya 2 tapi datangnya cuman 1
BPOM CINDYNAL Aloevera Gel 92% Pelembab Wajah Glowing / Peremajaan Kulit IMAGES Aloe Vera Soothing Gel;Variasi: CINDYNAL BPOM 220ML;1;zb03rafqav;21/12/2023;Penyok semua gak bs jual
CINDYNAL Black Mask BPOM Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;2;ziidonmvtwentyfive;12/12/2023;Mohon maaf barang datang tidak sesuai pesnan , pesan apaa dtangnya apaaa 🙏 mohon di teliti lagi untuk pengirimannyaa
sepatu sneakers running sepatu ad!das run Falcon white strip black tfr grey oren;Variasi: White,39;3;09endang_;08/05/2023;Respon toko nya bagus respon cepat Kualitas produk nya biasa sesuai dgn harga Kurir nya ramah y segitu aja la
sepatu running pria adidas eqt21 run white strip black oren;Variasi: Hitam,41;5;109bgone;03/03/2023;Makasih bos barang nya tunggu pesanan selanjutnya
sepatu running sneakers pria adds runfalcon;Variasi: Black white silver,43;5;1xpn9lrfei;16/09/2023;Mantap, barang nya reall
sepatu sneakers pria ad!das eqt21 run white oren;Variasi: White oren,40;5;2dwan0w_o7;25/10/2023;Kwalitas sangat bagus
SALE TERMURAH !!! ADDS EQT21 RUN;Variasi: Black silver,41;4;5o4e255vzx;14/08/2023;sayangnya yang saya pesan yang pake line hitam tapi yang datang polos
SALE TERMURAH !!! ADDS EQT21 RUN;Variasi: Black white oren,44;5;61cbb;24/09/2023;Packingnya rapi, respon penjualnya cepat, barangnya sesuai dan bagus banget. Seller ramah, kurirnyapun juga ramah.....
