Username;Review;Untruthful Opinion;Review on Brand Only;Non-Review;Review Length Short;Burstiness;Maximum Content Similarity;Extreme Rating
auliabungajoraanjani;warna nya tidak sesuai dengan yang saya pesan👎🏻;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
bluezterpunk;Pesanan udah sampek sesuai pesanan tapi barang penyet semua, udah mintak packing di lasipi kardus biar aman malah di abaikan sama selleenya, gag recomended beli disini, gag bisa buat berlangganan payah.......;Palsu;Asli;Palsu;Palsu;Asli;Asli;Palsu
boskecil;Trlalu lama menunggu.;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
deicenicolaasdei;Mf,barang yg sy pesan ko salah..tidak sesui dgn apa yg sy pesan..di gambrr beda banget;Asli;Asli;Asli;Asli;Asli;Asli;Asli
delisairawan86;Pengiriman lama belum dicoba;Palsu;Asli;Palsu;Palsu;Asli;Palsu;Asli
dk797rh2u9;Tapi kok kenapa warna nya ga sesuai kaya di foto;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
erniamalia738;tidak suka dengan bau atau rasanya;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
es5n90yson;Isinya kaya sisa sisa yang nempel pinggir botol;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
f*****v;ini gimana ya ko pas saya buka isinya kosong!! tapi sayang nya saat di buka tidak saya video pokoknya mengecewakan;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
febriadipandawa;Pesannya 3 datangnya 2 haddeh;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
fwsjivrpdx;Respon kurng ..pngiriman LM... Kualitas blom tau y.. saol nya BD dri yg biasanya AQ bli d tko sblh... Pecking jg ngk bagus.... Ada plastik kresek nya...;Palsu;Palsu;Palsu;Asli;Asli;Palsu;Asli
h*****y;Penjual saat live menjelaskan bilang bahwa kegunaan produk beda tetapi dikirim barang yg sama. Produk yg sama tp harga beda krn beda etalase produk;Asli;Palsu;Asli;Asli;Palsu;Asli;Palsu
h*****y;Penjual saat live menjelaskan bilang bahwa kegunaan produk beda tetapi dikirim barang yg sama. Produk yg sama tp harga beda krn beda etalase produk;Asli;Palsu;Asli;Asli;Palsu;Asli;Palsu
h_j1fxnp6u;Bedak ancur pas smpe;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
hasanbisri846;Pesen apa yang dikirim apa kocak ni toko ! Produk aja number one tapi kejujuran zonkk..;Asli;Palsu;Asli;Asli;Asli;Asli;Palsu
hie8jv1l90;Tidak sesuai iklan;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ihsan19091998;Udah pake seminggu lebih blm ada perubahan Kasih bintang 2 dulu;Asli;Asli;Asli;Asli;Asli;Asli;Asli
iisfitriayu563;Bagus banget;Palsu;Asli;Asli;Palsu;Asli;Palsu;Asli
istikadwikurnia009;ga ada isi nya bjr cuma kardus hahahhaha gimana sih;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
isynamaulida;beli no 5 tp knp warna nya kaya no 2 ya?;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
jneyinesa;Padhal pesan 3 lengkap tapi yg datang hanya 2 sampo nya kmna padhal udh chat juga supaya teliti sblm ngirim Kecewa ini tentang kejujuran dan ketelitian klo jualan emg mau untung jgn posting dpt 3;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
kbx8r_rzok;Beli nya apa dikirim nya apa;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
khailacantikhaayu;Kenapa di aku muka jadi beruntusan ya...... Apa karena mukaku sensitif;Asli;Asli;Asli;Asli;Asli;Asli;Asli
kurniaaadheeputriiaani;Saking senang nya paket dtg ..ku buka gak divideo unboxing...Kecewa bangeettt 😠pesan 2 dtg 1 gak teliti bangeettt toko nya ...harus ikhlass😭😭😭;Asli;Palsu;Asli;Asli;Asli;Asli;Asli
l*****1;bau nya ga enak, kaya bau ee;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
l*****k;Alhamdulillah paketnya udh sampai, sayang sekali kurang wangi aja;Asli;Asli;Asli;Asli;Asli;Palsu;Asli
liskilumbantobing_88;Biasa aja;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
lizliz14;Ini ga salah light brown warnanya gelap begini,? spt warna hitam ?tdk sesuai expentasi;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
malonlinestore;Ini ga ampuh sama sekali... Ga kayak di toko sebelah... Pelanggan saya jadi kecewa 🤦 Pengemasan bener bener lama lagi 🥹;Asli;Palsu;Palsu;Asli;Asli;Asli;Asli
meizy_sari;Pensil alis power nya kayak yang engk adaan kosong udah di oles oles juga engk keluar;Asli;Asli;Asli;Asli;Asli;Asli;Asli
mufafa360;apalah jir, ga mempan di guaa udh beli 2 kali abis tetep aee;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
muh.husnil;Gak sesuai pesanan kecewa;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
mvec96qbrc;jelek di kasih yg patah;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
mzfzv6hg3t;Warnanya Tidak Cocok.... Tidak Se Bagus Yng Di Foto;Palsu;Asli;Asli;Palsu;Asli;Asli;Palsu
n3im7whp2n;Ga sesuai ekspetasi aku kan pesennya warna yang 05 tweet young tapi malah datangnya yang gada warnanya,,ga sesuai banget pokonyaa;Asli;Asli;Asli;Asli;Asli;Asli;Asli
nabiila_13;Rusak isi nya belepotan;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
nadilla_prasisca08;Beli yg warna pink malah dateng yang hijau dan sudah bulukan;Asli;Asli;Asli;Asli;Asli;Asli;Asli
ndulstore08;Aaaa joz;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
nunkycahayafazila;Pesen yang mana datengnyaa warna apaa ga amanah bnget;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
nyimasdwilestari;Cuihhh bikinn kering bibir;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
oneupup;Lama;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
p*****n;Agak kurang ampuuh;Asli;Asli;Asli;Palsu;Palsu;Asli;Asli
p*****n;Belum dicoba;Palsu;Asli;Asli;Palsu;Palsu;Palsu;Asli
p4ky_kb3sf;Tidak sesuai warna;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
panji_wisnu_aji8;Penanganan lama + pengiriman lama;Asli;Asli;Palsu;Palsu;Asli;Palsu;Asli
puthrianisa;Wah mini sekali;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
q_qhptv5ab;Bau nya ngga enak;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
qxdetcd7rt;Warna nya ngga sesuai;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
r*****a;Overall semua produk yang ku pesen bagus tapi kenapa satu produk ini doang yg salah yah... Bisa di lihat di video kalau barang yang datang tidak sesuai dengan yg di pesan... Jelas2 saya memesan bedak padat tpi yang datang malah eyeshadow! Saya sudah menguhubungi penjual tpi belum ada respon... Oh ya pengirimannya juga lama banget jdi pas Tau ad produk yg salah saya jadi kesal💢;Palsu;Palsu;Palsu;Palsu;Palsu;Palsu;Asli
r6y9tdh2pn;Barang datang tidak sesuai ekspetasi yg difoto,di keterangan 1 kotak isi 6 pcs,pas datang dibuka cuma 4 pcs.lipstik nya pendek spt rokok.kalo liat diketerangan gmbr lipstik nya panjang.mana kotak nya kecil seukuran kotak rokok gudang garam..kalo liat komen yg lain isi pada 6 pcs kotak nya jg lumayan bsr.pas diantar sm kurir dlm ht jg bilang kok kotak nya kecil amat ya..masa lipstik isi 6 pcs packing nya kecil gitu.pas dibuka ternyata filling aq emang bnr ternyata bohong...kalo yg lain mau order disini pikir2 dulu,kecewa toko nya tdk amanah😥;Asli;Palsu;Palsu;Palsu;Asli;Palsu;Palsu
rejzaoiavt;Sangat buruk;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
rennyren974;Tampt lipstik Nye yang Mane di tawarin nyezyang datang itu teru model tempatlipstik Nye,,,tidak sesuai gambar Pengiriman Nye lammmmmmaaaaa;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
ridwanulfha;Pesan bb moisturizing di kirim malah eyeshadow;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
rismawati_gemini;Mengecewakan beli barang 2 yang sampe cuma 1;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
rosmely994;Bagus;Palsu;Asli;Asli;Palsu;Asli;Palsu;Palsu
s*****1;JANGAN MAU BELANJA DISINI.TOKO PENIPU.PESAN 200 PACK DIKIRIM 190 PACK.MAKAN TUH UANG HARAM.GAK BERKAT HIDUP LOE.;Asli;Palsu;Asli;Asli;Palsu;Asli;Palsu
sariani761;maaf sebelumnya pesanan nya tidak sesuai... padahal aku pesan untuk consoler tapi itu Glitter;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
seggaseptiyani;Pengirimannya lama banget dan barangnya sudah sampai malah yang satu rusak kaya gitu;Asli;Asli;Palsu;Asli;Asli;Asli;Asli
sh3524;sedikit kecewa krna yang dateng warnanya pucat pdhl saya pilih warna yang agak terang;Asli;Asli;Asli;Asli;Asli;Asli;Asli
sharonvaneshasumanti;Barang tdk dikirim;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
sidomulyo79;Di gambar 2M, dateng2 yg dikirim yg biasa😔,;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
simatupangsanti;Pengiriman sudah sampai,sudah pakai tapi tidak ada hasil ,tidak ada perubahan,tidak menutupi uban;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
sinditri08;Kecewa banget sih Dateng patah kaya gitu🙂;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
sitinasyaaisyah;g sesuai;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
sulthan_902;Pesanan tidak terkirim;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
susantosanto585;Bagus;Palsu;Asli;Asli;Palsu;Asli;Palsu;Asli
suwartykomala;Warnanya psn coklat cofee dikasih coklat muda...menyebalkan;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
syakhiraiskandar;masa saya pesen 6 variasi tp yang ada cmn 3 mana teksturnya lengkett banget lagii, baunya kayak permen karet, pas dipake lengket banget di bibir, menurutku warnanya kurang keluar, pas di bibir susah banget nyerapnya, kalau udah kering bikin bibir kering jugaa, nyesel dehh pesen banyak banyak tp dpt zonk;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
syakilaputri772;"Produk nya belom di coba ori/bukan nya dan pengiriman nya sangat""lambat!kapok belanja di toko ini";Palsu;Palsu;Palsu;Asli;Asli;Asli;Asli
t*****7;"Hati hati ya temen"" soal ny di kemasan produk ini belum ada lebbel BPOM ny";Asli;Asli;Palsu;Asli;Palsu;Asli;Asli
tya_artika01;Gk sesuai pesanan;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
utiyatono;warna nya jlk gk sesuai ekspektasi 🙏;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
vaqecrm4el;Ngga sesuai jelek;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
vb_1a_zb6h;gk manjur;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
vitriazahra03;Pelayanan tokonya tidak bagus,barang yg dipesan tidak sesuai yang datang😡;Palsu;Palsu;Palsu;Asli;Palsu;Palsu;Palsu
vitriazahra03;Kecewa belanja ditoko ini, barang yg datang tidak sesuai pesanan. Semua barang yg datang salah semua😡😡 mana tidak bisa ajukan pengembalian 😡 sudah lebih 7 tahun belanja d Shopee tapi baru di toko ini yang tidak beres packing barang. sangat kecewa😡😡;Asli;Palsu;Palsu;Palsu;Palsu;Palsu;Palsu
vitriazahra03;Toko tidak amanah, barang tidak sesuai yang datang 😡 pesan yg lain ehhh yg datang juga lain🤦;Asli;Palsu;Asli;Asli;Palsu;Palsu;Palsu
vitriazahra03;Pengiriman lama trus barang yg datang tidak sesuai pesanan 😡😡;Asli;Asli;Palsu;Asli;Palsu;Palsu;Palsu
vuwfti3fkg;Kurang bagus;Palsu;Asli;Asli;Palsu;Asli;Palsu;Palsu
wafaazzahra805;Jelek,palsu,bikin bibir makin item,gw kira Vaseline ternyata bukan,ujung²nya ga kepake;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
wafashabrina4;Warnanya muda bgt g keliatan pinknya malah lebih ke warna bening, padahal pesannya warna pink yg agak tua, mana dateng nya lama bgt lagi:(;Asli;Asli;Asli;Asli;Asli;Asli;Asli
wawangkristiun;Paket tidak sesuai pesanan  ,tidak adaconcealer;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
xef0nluok_;Bagus banget saya suka sama teksturnya, wanginya juga enakk;Palsu;Asli;Asli;Asli;Asli;Asli;Asli
y*****h;Beli 2 yg dtg 1 ,mau sertakan fidiontp kepanjangan;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
yessicayessica879;Cocok tidak sesuai ekspetasi;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
yoensanju07;pesan 3 pcs yg dtng 1 harga 35.000.kmana 2 lagi;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
zalfasyakira28;Maaf kak saya memesan nya 2 tapi datangnya cuman 1;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
zb03rafqav;Penyok semua gak bs jual;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
ziidonmvtwentyfive;Mohon maaf barang datang tidak sesuai pesnan , pesan apaa dtangnya apaaa 🙏 mohon di teliti lagi untuk pengirimannyaa;Asli;Asli;Palsu;Asli;Asli;Palsu;Asli
09endang_;Respon toko nya bagus respon cepat Kualitas produk nya biasa sesuai dgn harga Kurir nya ramah y segitu aja la;Asli;Palsu;Palsu;Asli;Asli;Palsu;Asli
109bgone;Makasih bos barang nya tunggu pesanan selanjutnya;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
1xpn9lrfei;Mantap, barang nya reall;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
2dwan0w_o7;Kwalitas sangat bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
5o4e255vzx;sayangnya yang saya pesan yang pake line hitam tapi yang datang polos;Asli;Asli;Asli;Asli;Asli;Asli;Asli
61cbb;Packingnya rapi, respon penjualnya cepat, barangnya sesuai dan bagus banget. Seller ramah, kurirnyapun juga ramah.....;Asli;Palsu;Palsu;Asli;Asli;Palsu;Palsu
6to_6vaton;Bru pertama order alhamdulilah amanah;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
8lcmshybiz;bagus bgt;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
Pengguna Shopee;Bagusss;Asli;Asli;Asli;Palsu;Palsu;Palsu;Palsu
_tcaf9_8ut;pengiriman sangat cepat.... pelapak fast respon... siip dehh;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
a*****4;Sepatunya mantap gan;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
a*****4;terimakasih seller terimaksih shopee barang dah sampe;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
a*****7;lumayan bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
a*****_;Barang sesuai diskripsi, jahitan rapi, packingnya jg rapi. Terimakasih;Asli;Asli;Palsu;Asli;Asli;Palsu;Palsu
a*****a;Kualitas baik dan semoga bisa ditingkatkan lagi, biarkan bintang yang menilai🫡 Next bakal order disini lagi🫡;Asli;Asli;Asli;Asli;Palsu;Asli;Palsu
a*****i;Kurang memuaskan karena barang yg diterima tidak sesuai dengan yang dipesan. Walopun sebelumnya sdh dapat pemberitahuan dari penjual.;Asli;Palsu;Asli;Asli;Asli;Asli;Asli
a*****s;Bagus. Tapi uk 42 kecil, jadi ngepass. Mungkin kalo 43 lebih enak dipakai;Asli;Asli;Asli;Asli;Palsu;Asli;Palsu
a13h1;Barang sangat bagus dan baik lagi👍👍;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
abah_arsyi;B Aja, mana ada barang ORI harga segini walau ada penjual gak akan jual murah juga kli.. 🙏 terima kasih;Asli;Palsu;Asli;Asli;Asli;Asli;Asli
abdullani998;keren;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
abienyaalbydanalbukhory;Alhamdulilllaah.. Puas sesuai harga Maantaab;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
achantahir;Saya kasih bintang 3 soalnya saya pesan yg hitam malah dtg yg satunya,baru iali ini saya pesan barang yg datang tidak sesuai;Asli;Asli;Asli;Asli;Asli;Asli;Asli
aciprilis;Sesuai pesanan trimakasih ✨✨;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
adang972;Muantab sesuai di gambar , bru pertama beli mudah2an awet di pakenya ,aamiin yra;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
adeliaputrieuis;Mantepp dahh;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
adhityapr;barang mantap;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
adit_18.19;Kerennnn 👍👍;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
adityarizky982;lemnya banyak yang tidak pas trs di sepatu yang warna putihnya banyak cat warna hitam;Asli;Asli;Asli;Asli;Asli;Asli;Asli
adnannmutaqin;Barang jos pengiriman cepat banget min mantap;Asli;Asli;Palsu;Palsu;Asli;Palsu;Palsu
adp_chan;Bagus..👍👍👍;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
aepprasetya;Jangan ragu belanja di toko ini🤟👍;Asli;Palsu;Asli;Palsu;Asli;Palsu;Palsu
agus_suartawan18;Pesan warna grey six..yang datang warna lain Kualitas sesuai harga;Asli;Asli;Asli;Asli;Asli;Asli;Asli
agusdewa004;Paket cepet nyampai nya,kurirnya ramah,chat cepat respon sukses terus RIZAL LUKI DARMAWAN;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
agusroj;Pengiriman gercep, mantab lah;Asli;Asli;Palsu;Palsu;Asli;Asli;Palsu
ahmadfauzun;real pic,sangat recomended;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
ahmadhudikhoirudin;recomended!!! ga nyesel beli disini barangnya bagus,semoga awet;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
ahmadjauhari2019;Kaga sesuai pesanan ancrit, pesen grey yg dateng ijo;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
ahmadmsyffa;Barang sampai dengan selamat tanpa ada cacat. Sesuai pesanan Terimakasih;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
ahmadnaufaal;yaaa silahkan nilai sendiri;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
ahmadsyaifularifin765;Seler ramah,, barang sesuai foto;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ai_solihat24;Di deskripsinya ori tp pas datang barangnya keliatan kw nya lemnya di pinggir keliatan tidak rapih;Asli;Asli;Asli;Asli;Asli;Asli;Asli
aira24727;harga oke kualitas pun oke;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
ajex212;Keren;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
akhmadfahrul58;Barang bagus barang sesuai gambar barang original barang selamat sampai tujuan barang tidak cacat;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
alanfadhil12;Lemnya kurang rapih;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
albertoherbas91;Semoga awet,;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
aldianalfaris;Bagus!!!;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
alfa22cell;Paket sudah nyampe dengan aman pengiriman cepat kemasan profesional produk realpict sesuai pesanan bagus banget nyaman dipakai pas ukurannya ngga kecewa belanja ditoko ini seller amanah kurir sopan. Terima kasih seller mas kurir. SHOPEE memang mantuuuuuullll;Palsu;Palsu;Palsu;Palsu;Asli;Palsu;Palsu
alfianaike;Bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
alisa_qotrunnada11;bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
ambarsari116;Burukkk, produk tidak ORI.. tp lokal;Asli;Asli;Asli;Palsu;Palsu;Asli;Palsu
ambarsari116;Produk tidak ORI lemnya dalam jelek, bohong ini gak sesuai deskripsi;Asli;Asli;Asli;Asli;Palsu;Asli;Palsu
ambarsari116;Bagus;Asli;Asli;Asli;Palsu;Palsu;Palsu;Palsu
ameeliapandra;Mayaanlahhh;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
anasilviana26;bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
andika_setiawan96;Sepatunya enteng nyaman di pakai, juga admin nya ramah Dengan ukuran 40;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
andikoyos;Tidak sesuai sama yg di pesan, yg di pesan ukuran 41, yg datang 41½;Asli;Asli;Asli;Asli;Asli;Palsu;Asli
andirahmansjach23;Kualitas bagus dan nyaman di pakai nya;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
andisibuea102;Sesuai dengan harga;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
andreeholic;Fast respon ramah;Asli;Asli;Palsu;Palsu;Asli;Asli;Palsu
andyaenixkjetbus;Walaupun barang yg saya pesan kosong dan di ganti warna ini, tpi gpp sih bagus jg.. Cmn agak ke kecilan seret di pake pdahal ukuran no 42.;Asli;Asli;Asli;Asli;Asli;Asli;Asli
anwarsport955;Mantul;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
aqshamasjidil;Barang oke punya , gak nyesel . Pelayanan baik banget cepat tepat , pengiriman cepat . good job;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
arai_r;Bagian dalam sepatu knp tdk bertuliskan Adidas ya, sedangkan di galeri pembeli ada tulisan adidasnya...;Asli;Asli;Asli;Asli;Asli;Asli;Asli
arbawi01;Suka bangat barang sesuai sesuai dngn d foto, sesuai dng hrga sgtu;Asli;Asli;Asli;Asli;Asli;Palsu;Palsu
ariefcahbejhat;Bagus, keren;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
arieztta;tulisan adidas warna merah, tidak sesuai digambar warna hitam bagus,alas agak keras. sesuai harga;Asli;Asli;Asli;Asli;Asli;Asli;Asli
asep_51066;bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
asepnajwan;sesuai;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
astri_noor_diana19;Sesuai pesanan;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
auliarohman664;bagus;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
azrielshop18;tidak sesuai pesanan untuk warna nya;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
azwanakarya;Kenapa jelek sekali, Ini sepatu bahannya jelek sekali Kecewa banget saya......;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
b*****n;Bagus dan murah;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
b*****o;Pengiriman cepat Brg sedikit krg sempurna, btw msh sesuai ekspektasi dgn hrg segitu;Asli;Asli;Palsu;Asli;Asli;Asli;Asli
badroe32;Mantap sepatu nya...udah 2x order ngga mengecewakan....next order lagi...;Palsu;Asli;Asli;Asli;Asli;Asli;Palsu
bangbim;Ono rego ono rupo;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
barbar942;Kapok belanja ditoko ini;Asli;Palsu;Asli;Palsu;Asli;Palsu;Palsu
bayuaristian;Belum apa apa lem, sudah lepas. Ini QC nya gmn???? Kok main kirim aja. G di sortir dulu.;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
bayumahardhika88;Sepatunya bagus, mantap. Kualitas ok. Jgn ragu belanja di lapak ini. Sepatu di pakai sodara min jd gda fotonya.;Asli;Asli;Asli;Asli;Asli;Asli;Palsu
belaaaww;Agak kebesaran tapi gppa si bgus pollll;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
bimantoadi;lemnya berantakan;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
blacktafara;Keren mantep,,, recomended;Asli;Asli;Asli;Palsu;Asli;Asli;Asli
boankusahacetakankue;sangat baik alasnya empuk nyaman di pake;Asli;Asli;Asli;Palsu;Asli;Asli;Palsu
boboyboby;Mantap;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
brahamloram;pengiriman cepat;Asli;Asli;Palsu;Palsu;Asli;Palsu;Asli
broment;Ya semoga awet;Asli;Asli;Asli;Palsu;Asli;Palsu;Palsu
budhisusanto35;Terima kasih seller semoga berkah....aamiin Produk di terima dengan aman packingnya rapi;Asli;Asli;Palsu;Asli;Asli;Asli;Palsu
budhisusanto35;Bagus sih tp sayang lem nya masih kurang rapi;Asli;Asli;Asli;Palsu;Asli;Palsu;Asli
